medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,athlete_link,event,country,country_code,discipline,discipline_code
Gold Medal,1,2021-08-26 00:00:00.0,BOCCIARDO F,BOCCIARDO Francesco,M,../../../en/results/swimming/athlete-profile-n1683357-bocciardo-francesco.htm,Men's 100m Freestyle - S5,Italy,ITA,Swimming,SWM
Silver Medal,2,2021-08-26 00:00:00.0,WANG L,WANG Lichao,M,../../../en/results/swimming/athlete-profile-n1548876-wang-lichao.htm,Men's 100m Freestyle - S5,People's Republic of China,CHN,Swimming,SWM
Bronze Medal,3,2021-08-26 00:00:00.0,de FARIA DIAS D,de FARIA DIAS Daniel,M,../../../en/results/swimming/athlete-profile-n1361234-de-faria-dias-daniel.htm,Men's 100m Freestyle - S5,Brazil,BRA,Swimming,SWM
Gold Medal,1,2021-08-26 00:00:00.0,CRISPIN CORZO N,CRISPIN CORZO Nelson,M,../../../en/results/swimming/athlete-profile-n1354038-crispin-corzo-nelson.htm,Men's 200m Individual Medley - SM6,Colombia,COL,Swimming,SWM
Silver Medal,2,2021-08-26 00:00:00.0,GRANICHKA A,GRANICHKA Andrei,M,../../../en/results/swimming/athlete-profile-n1309694-granichka-andrei.htm,Men's 200m Individual Medley - SM6,RPC,RPC,Swimming,SWM
Bronze Medal,3,2021-08-26 00:00:00.0,JIA H,JIA Hongguang,M,../../../en/results/swimming/athlete-profile-n1544645-jia-hongguang.htm,Men's 200m Individual Medley - SM6,People's Republic of China,CHN,Swimming,SWM
Gold Medal,1,2021-08-26 00:00:00.0,DORSMAN R,DORSMAN Rogier,M,../../../en/results/swimming/athlete-profile-n1706382-dorsman-rogier.htm,Men's 400m Freestyle - S11,Netherlands,NED,Swimming,SWM
Silver Medal,2,2021-08-26 00:00:00.0,TOMITA U,TOMITA Uchu,M,../../../en/results/swimming/athlete-profile-n1720267-tomita-uchu.htm,Men's 400m Freestyle - S11,Japan,JPN,Swimming,SWM
Bronze Medal,3,2021-08-26 00:00:00.0,HUA D,HUA Dongdong,M,../../../en/results/swimming/athlete-profile-n1545174-hua-dongdong.htm,Men's 400m Freestyle - S11,People's Republic of China,CHN,Swimming,SWM
Gold Medal,1,2021-08-26 00:00:00.0,LU D,LU Dong,X,../../../en/results/swimming/athlete-profile-n1707418-lu-dong.htm,Mixed 4x50m Freestyle Relay - 20 Points,People's Republic of China,CHN,Swimming,SWM
Gold Medal,1,2021-08-26 00:00:00.0,ZHOU Y,ZHOU Yanfei,X,../../../en/results/swimming/athlete-profile-n1707449-zhou-yanfei.htm,Mixed 4x50m Freestyle Relay - 20 Points,People's Republic of China,CHN,Swimming,SWM
Gold Medal,1,2021-08-26 00:00:00.0,ZHANG L,ZHANG Li,X,../../../en/results/swimming/athlete-profile-n1707454-zhang-li.htm,Mixed 4x50m Freestyle Relay - 20 Points,People's Republic of China,CHN,Swimming,SWM
Gold Medal,1,2021-08-26 00:00:00.0,ZHENG T,ZHENG Tao,X,../../../en/results/swimming/athlete-profile-n1707531-zheng-tao.htm,Mixed 4x50m Freestyle Relay - 20 Points,People's Republic of China,CHN,Swimming,SWM
Gold Medal,1,2021-08-26 00:00:00.0,YAO C,YAO Cuan,X,../../../en/results/swimming/athlete-profile-n1548884-yao-cuan.htm,Mixed 4x50m Freestyle Relay - 20 Points,People's Republic of China,CHN,Swimming,SWM
Gold Medal,1,2021-08-26 00:00:00.0,YUAN W,YUAN Weiyi,X,../../../en/results/swimming/athlete-profile-n1544626-yuan-weiyi.htm,Mixed 4x50m Freestyle Relay - 20 Points,People's Republic of China,CHN,Swimming,SWM
Gold Medal,1,2021-08-26 00:00:00.0,JIA H,JIA Hongguang,X,../../../en/results/swimming/athlete-profile-n1544645-jia-hongguang.htm,Mixed 4x50m Freestyle Relay - 20 Points,People's Republic of China,CHN,Swimming,SWM
Gold Medal,1,2021-08-26 00:00:00.0,WANG L,WANG Lichao,X,../../../en/results/swimming/athlete-profile-n1548876-wang-lichao.htm,Mixed 4x50m Freestyle Relay - 20 Points,People's Republic of China,CHN,Swimming,SWM
Silver Medal,2,2021-08-26 00:00:00.0,BOCCIARDO F,BOCCIARDO Francesco,X,../../../en/results/swimming/athlete-profile-n1683357-bocciardo-francesco.htm,Mixed 4x50m Freestyle Relay - 20 Points,Italy,ITA,Swimming,SWM
Silver Medal,2,2021-08-26 00:00:00.0,FANTIN A,FANTIN Antonio,X,../../../en/results/swimming/athlete-profile-n1683477-fantin-antonio.htm,Mixed 4x50m Freestyle Relay - 20 Points,Italy,ITA,Swimming,SWM
Silver Medal,2,2021-08-26 00:00:00.0,TALAMONA A,TALAMONA Arianna,X,../../../en/results/swimming/athlete-profile-n1683520-talamona-arianna.htm,Mixed 4x50m Freestyle Relay - 20 Points,Italy,ITA,Swimming,SWM
Silver Medal,2,2021-08-26 00:00:00.0,TRIMI A,TRIMI Arjola,X,../../../en/results/swimming/athlete-profile-n1683697-trimi-arjola.htm,Mixed 4x50m Freestyle Relay - 20 Points,Italy,ITA,Swimming,SWM
Silver Medal,2,2021-08-26 00:00:00.0,TERZI G,TERZI Giulia,X,../../../en/results/swimming/athlete-profile-n1683919-terzi-giulia.htm,Mixed 4x50m Freestyle Relay - 20 Points,Italy,ITA,Swimming,SWM
Silver Medal,2,2021-08-26 00:00:00.0,BEGGIATO L,BEGGIATO Luigi,X,../../../en/results/swimming/athlete-profile-n1684614-beggiato-luigi.htm,Mixed 4x50m Freestyle Relay - 20 Points,Italy,ITA,Swimming,SWM
Bronze Medal,3,2021-08-26 00:00:00.0,PEREIRA dos SANTOS,PEREIRA dos SANTOS Patricia,X,../../../en/results/swimming/athlete-profile-n1377765-pereira-dos-santos-patricia.htm,Mixed 4x50m Freestyle Relay - 20 Points,Brazil,BRA,Swimming,SWM
Bronze Medal,3,2021-08-26 00:00:00.0,da SILVA NEVES EU.,da SILVA NEVES EUZEBIO Joana Maria,X,../../../en/results/swimming/athlete-profile-n1380774-da-silva-neves-euzebio-joana-maria.htm,Mixed 4x50m Freestyle Relay - 20 Points,Brazil,BRA,Swimming,SWM
Bronze Medal,3,2021-08-26 00:00:00.0,MELONE de OLIVEIRA,MELONE de OLIVEIRA Gabriel,X,../../../en/results/swimming/athlete-profile-n1406391-melone-de-oliveira-gabriel.htm,Mixed 4x50m Freestyle Relay - 20 Points,Brazil,BRA,Swimming,SWM
Bronze Medal,3,2021-08-26 00:00:00.0,TOBERA E,TOBERA Eric,X,../../../en/results/swimming/athlete-profile-n1616078-tobera-eric.htm,Mixed 4x50m Freestyle Relay - 20 Points,Brazil,BRA,Swimming,SWM
Bronze Medal,3,2021-08-26 00:00:00.0,de FARIA DIAS D,de FARIA DIAS Daniel,X,../../../en/results/swimming/athlete-profile-n1361234-de-faria-dias-daniel.htm,Mixed 4x50m Freestyle Relay - 20 Points,Brazil,BRA,Swimming,SWM
Bronze Medal,3,2021-08-26 00:00:00.0,GLOCK TH,GLOCK Talisson Henrique,X,../../../en/results/swimming/athlete-profile-n1361247-glock-talisson-henrique.htm,Mixed 4x50m Freestyle Relay - 20 Points,Brazil,BRA,Swimming,SWM
Bronze Medal,3,2021-08-26 00:00:00.0,SUZIGAN ABATE L,SUZIGAN ABATE Laila,X,../../../en/results/swimming/athlete-profile-n1377419-suzigan-abate-laila.htm,Mixed 4x50m Freestyle Relay - 20 Points,Brazil,BRA,Swimming,SWM
Gold Medal,1,2021-08-26 00:00:00.0,PERGOLINI G,PERGOLINI Gia,W,../../../en/results/swimming/athlete-profile-n1690679-pergolini-gia.htm,Women's 100m Backstroke - S13,United States of America,USA,Swimming,SWM
Silver Medal,2,2021-08-26 00:00:00.0,GILLI C,GILLI Carlotta,W,../../../en/results/swimming/athlete-profile-n1683497-gilli-carlotta.htm,Women's 100m Backstroke - S13,Italy,ITA,Swimming,SWM
Bronze Medal,3,2021-08-26 00:00:00.0,DEDEKIND K,DEDEKIND Katja,W,../../../en/results/swimming/athlete-profile-n1498315-dedekind-katja.htm,Women's 100m Backstroke - S13,Australia,AUS,Swimming,SWM
Gold Medal,1,2021-08-26 00:00:00.0,KEANE E,KEANE Ellen,W,../../../en/results/swimming/athlete-profile-n1301362-keane-ellen.htm,Women's 100m Breaststroke - SB8,Ireland,IRL,Swimming,SWM
Silver Medal,2,2021-08-26 00:00:00.0,PASCOE S,PASCOE Sophie,W,../../../en/results/swimming/athlete-profile-n1616457-pascoe-sophie.htm,Women's 100m Breaststroke - SB8,New Zealand,NZL,Swimming,SWM
Bronze Medal,3,2021-08-26 00:00:00.0,RAZETDINOVA A,RAZETDINOVA Adelina,W,../../../en/results/swimming/athlete-profile-n1325661-razetdinova-adelina.htm,Women's 100m Breaststroke - SB8,RPC,RPC,Swimming,SWM
Gold Medal,1,2021-08-26 00:00:00.0,ZIJDERVELD C,ZIJDERVELD Chantalle,W,../../../en/results/swimming/athlete-profile-n1706390-zijderveld-chantalle.htm,Women's 100m Breaststroke - SB9,Netherlands,NED,Swimming,SWM
Silver Medal,2,2021-08-26 00:00:00.0,KRUGER L,KRUGER Lisa,W,../../../en/results/swimming/athlete-profile-n1706387-kruger-lisa.htm,Women's 100m Breaststroke - SB9,Netherlands,NED,Swimming,SWM
Bronze Medal,3,2021-08-26 00:00:00.0,STEPHENS K,STEPHENS Keira,W,../../../en/results/swimming/athlete-profile-n1498352-stephens-keira.htm,Women's 100m Breaststroke - SB9,Australia,AUS,Swimming,SWM
Gold Medal,1,2021-08-26 00:00:00.0,KEARNEY T,KEARNEY Tully,W,../../../en/results/swimming/athlete-profile-n1725305-kearney-tully.htm,Women's 100m Freestyle - S5,Great Britain,GBR,Swimming,SWM
Silver Medal,2,2021-08-26 00:00:00.0,ZHANG L,ZHANG Li,W,../../../en/results/swimming/athlete-profile-n1707454-zhang-li.htm,Women's 100m Freestyle - S5,People's Republic of China,CHN,Swimming,SWM
Bronze Medal,3,2021-08-26 00:00:00.0,BOGGIONI M,BOGGIONI Monica,W,../../../en/results/swimming/athlete-profile-n1683894-boggioni-monica.htm,Women's 100m Freestyle - S5,Italy,ITA,Swimming,SWM
Gold Medal,1,2021-08-26 00:00:00.0,SUMMERS-NEWTON M,SUMMERS-NEWTON Maisie,W,../../../en/results/swimming/athlete-profile-n1725338-summers-newton-maisie.htm,Women's 200m Individual Medley - SM6,Great Britain,GBR,Swimming,SWM
Silver Medal,2,2021-08-26 00:00:00.0,MERESHKO Y,MERESHKO Yelyzaveta,W,../../../en/results/swimming/athlete-profile-n1341424-mereshko-yelyzaveta.htm,Women's 200m Individual Medley - SM6,Ukraine,UKR,Swimming,SWM
Bronze Medal,3,2021-08-26 00:00:00.0,SCHOTT V,SCHOTT Verena,W,../../../en/results/swimming/athlete-profile-n1396365-schott-verena.htm,Women's 200m Individual Medley - SM6,Germany,GER,Swimming,SWM
Gold Medal,1,2021-08-26 00:00:00.0,PAGONIS A,PAGONIS Anastasia,W,../../../en/results/swimming/athlete-profile-n1690659-pagonis-anastasia.htm,Women's 400m Freestyle - S11,United States of America,USA,Swimming,SWM
Silver Medal,2,2021-08-26 00:00:00.0,BRUINSMA L,BRUINSMA Liesette,W,../../../en/results/swimming/athlete-profile-n1706381-bruinsma-liesette.htm,Women's 400m Freestyle - S11,Netherlands,NED,Swimming,SWM
Bronze Medal,3,2021-08-26 00:00:00.0,CAI L,CAI Liwen,W,../../../en/results/swimming/athlete-profile-n1707835-cai-liwen.htm,Women's 400m Freestyle - S11,People's Republic of China,CHN,Swimming,SWM
Gold Medal,1,2021-08-26 00:00:00.0,GILLIVER P,GILLIVER Piers,M,../../../en/results/wheelchair-fencing/athlete-profile-n1705742-gilliver-piers.htm,Men's &Eacute;p&eacute;e Individual - Category A,Great Britain,GBR,Wheelchair Fencing,WFE
Silver Medal,2,2021-08-26 00:00:00.0,SHABUROV M,SHABUROV Maxim,M,../../../en/results/wheelchair-fencing/athlete-profile-n1302725-shaburov-maxim.htm,Men's &Eacute;p&eacute;e Individual - Category A,RPC,RPC,Wheelchair Fencing,WFE
Bronze Medal,3,2021-08-26 00:00:00.0,TIAN J,TIAN Jianquan,M,../../../en/results/wheelchair-fencing/athlete-profile-n1643237-tian-jianquan.htm,Men's &Eacute;p&eacute;e Individual - Category A,People's Republic of China,CHN,Wheelchair Fencing,WFE
Gold Medal,1,2021-08-26 00:00:00.0,KUZYUKOV A,KUZYUKOV Alexander,M,../../../en/results/wheelchair-fencing/athlete-profile-n1302721-kuzyukov-alexander.htm,Men's &Eacute;p&eacute;e Individual - Category B,RPC,RPC,Wheelchair Fencing,WFE
Silver Medal,2,2021-08-26 00:00:00.0,GUISSONE J,GUISSONE Jovane,M,../../../en/results/wheelchair-fencing/athlete-profile-n1352923-guissone-jovane.htm,Men's &Eacute;p&eacute;e Individual - Category B,Brazil,BRA,Wheelchair Fencing,WFE
Bronze Medal,3,2021-08-26 00:00:00.0,COUTYA D,COUTYA Dimitri,M,../../../en/results/wheelchair-fencing/athlete-profile-n1705741-coutya-dimitri.htm,Men's &Eacute;p&eacute;e Individual - Category B,Great Britain,GBR,Wheelchair Fencing,WFE
Gold Medal,1,2021-08-26 00:00:00.0,VERES A,VERES Amarilla,W,../../../en/results/wheelchair-fencing/athlete-profile-n1728670-veres-amarilla.htm,Women's &Eacute;p&eacute;e Individual - Category A,Hungary,HUN,Wheelchair Fencing,WFE
Silver Medal,2,2021-08-26 00:00:00.0,RONG J,RONG Jing,W,../../../en/results/wheelchair-fencing/athlete-profile-n1643576-rong-jing.htm,Women's &Eacute;p&eacute;e Individual - Category A,People's Republic of China,CHN,Wheelchair Fencing,WFE
Bronze Medal,3,2021-08-26 00:00:00.0,BIAN J,BIAN Jing,W,../../../en/results/wheelchair-fencing/athlete-profile-n1643747-bian-jing.htm,Women's &Eacute;p&eacute;e Individual - Category A,People's Republic of China,CHN,Wheelchair Fencing,WFE
Gold Medal,1,2021-08-26 00:00:00.0,TAN S,TAN Shumei,W,../../../en/results/wheelchair-fencing/athlete-profile-n1650734-tan-shumei.htm,Women's &Eacute;p&eacute;e Individual - Category B,People's Republic of China,CHN,Wheelchair Fencing,WFE
Silver Medal,2,2021-08-26 00:00:00.0,BOYKOVA V,BOYKOVA Viktoria,W,../../../en/results/wheelchair-fencing/athlete-profile-n1302718-boykova-viktoria.htm,Women's &Eacute;p&eacute;e Individual - Category B,RPC,RPC,Wheelchair Fencing,WFE
Bronze Medal,3,2021-08-26 00:00:00.0,JANA S,JANA Saysunee,W,../../../en/results/wheelchair-fencing/athlete-profile-n1732531-jana-saysunee.htm,Women's &Eacute;p&eacute;e Individual - Category B,Thailand,THA,Wheelchair Fencing,WFE
Gold Medal,1,2021-08-27 00:00:00.0,MAYHUGH N,MAYHUGH Nick,M,../../../en/results/athletics/athlete-profile-n1662559-mayhugh-nick.htm,Men's 100m - T37,United States of America,USA,Athletics,ATH
Silver Medal,2,2021-08-27 00:00:00.0,VDOVIN A,VDOVIN Andrei,M,../../../en/results/athletics/athlete-profile-n1353673-vdovin-andrei.htm,Men's 100m - T37,RPC,RPC,Athletics,ATH
Bronze Medal,3,2021-08-27 00:00:00.0,PURNOMO S,PURNOMO Saptoyoga,M,../../../en/results/athletics/athlete-profile-n1720602-purnomo-saptoyoga.htm,Men's 100m - T37,Indonesia,INA,Athletics,ATH
Gold Medal,1,2021-08-27 00:00:00.0,FERREIRA dos SANT.,FERREIRA dos SANTOS Petrucio,M,../../../en/results/athletics/athlete-profile-n1361183-ferreira-dos-santos-petrucio.htm,Men's 100m - T47,Brazil,BRA,Athletics,ATH
Silver Medal,2,2021-08-27 00:00:00.0,DERUS M,DERUS Michal,M,../../../en/results/athletics/athlete-profile-n1422596-derus-michal.htm,Men's 100m - T47,Poland,POL,Athletics,ATH
Bronze Medal,3,2021-08-27 00:00:00.0,JUNIOR W,JUNIOR Washington,M,../../../en/results/athletics/athlete-profile-n1361193-junior-washington.htm,Men's 100m - T47,Brazil,BRA,Athletics,ATH
Gold Medal,1,2021-08-27 00:00:00.0,SATO T,SATO Tomoki,M,../../../en/results/athletics/athlete-profile-n1727757-sato-tomoki.htm,Men's 400m - T52,Japan,JPN,Athletics,ATH
Silver Medal,2,2021-08-27 00:00:00.0,MARTIN R,MARTIN Raymond,M,../../../en/results/athletics/athlete-profile-n1662581-martin-raymond.htm,Men's 400m - T52,United States of America,USA,Athletics,ATH
Bronze Medal,3,2021-08-27 00:00:00.0,UEYONABARU H,UEYONABARU Hirokazu,M,../../../en/results/athletics/athlete-profile-n1727447-ueyonabaru-hirokazu.htm,Men's 400m - T52,Japan,JPN,Athletics,ATH
Gold Medal,1,2021-08-27 00:00:00.0,JACQUES Y,JACQUES Yeltsin,M,../../../en/results/athletics/athlete-profile-n1402415-jacques-yeltsin.htm,Men's 5000m - T11,Brazil,BRA,Athletics,ATH
Silver Medal,2,2021-08-27 00:00:00.0,KARASAWA K,KARASAWA Kenya,M,../../../en/results/athletics/athlete-profile-n1727676-karasawa-kenya.htm,Men's 5000m - T11,Japan,JPN,Athletics,ATH
Bronze Medal,3,2021-08-27 00:00:00.0,WADA S,WADA Shinya,M,../../../en/results/athletics/athlete-profile-n1727937-wada-shinya.htm,Men's 5000m - T11,Japan,JPN,Athletics,ATH
Gold Medal,1,2021-08-27 00:00:00.0,LEMOS RIVAS JG,LEMOS RIVAS Jose Gregorio,M,../../../en/results/athletics/athlete-profile-n1352742-lemos-rivas-jose-gregorio.htm,Men's Javelin Throw - F38,Colombia,COL,Athletics,ATH
Silver Medal,2,2021-08-27 00:00:00.0,BILYI V,BILYI Vladyslav,M,../../../en/results/athletics/athlete-profile-n1381592-bilyi-vladyslav.htm,Men's Javelin Throw - F38,Ukraine,UKR,Athletics,ATH
Bronze Medal,3,2021-08-27 00:00:00.0,LUCUMI VILLEGAS LF,LUCUMI VILLEGAS Luis Fernando,M,../../../en/results/athletics/athlete-profile-n1351396-lucumi-villegas-luis-fernando.htm,Men's Javelin Throw - F38,Colombia,COL,Athletics,ATH
Gold Medal,1,2021-08-27 00:00:00.0,DI D,DI Dongdong,M,../../../en/results/athletics/athlete-profile-n1584798-di-dongdong.htm,Men's Long Jump - T11,People's Republic of China,CHN,Athletics,ATH
Silver Medal,2,2021-08-27 00:00:00.0,GILLETTE L,GILLETTE Lex,M,../../../en/results/athletics/athlete-profile-n1662435-gillette-lex.htm,Men's Long Jump - T11,United States of America,USA,Athletics,ATH
Bronze Medal,3,2021-08-27 00:00:00.0,PALLIER R,PALLIER Ronan,M,../../../en/results/athletics/athlete-profile-n1358110-pallier-ronan.htm,Men's Long Jump - T11,France,FRA,Athletics,ATH
Gold Medal,1,2021-08-27 00:00:00.0,KHINCHAGOV A,KHINCHAGOV Albert,M,../../../en/results/athletics/athlete-profile-n1353714-khinchagov-albert.htm,Men's Shot Put - F37,RPC,RPC,Athletics,ATH
Silver Medal,2,2021-08-27 00:00:00.0,BEN MOSLAH A,BEN MOSLAH Ahmed,M,../../../en/results/athletics/athlete-profile-n1476062-ben-moslah-ahmed.htm,Men's Shot Put - F37,Tunisia,TUN,Athletics,ATH
Bronze Medal,3,2021-08-27 00:00:00.0,TEIXEIRA de SOUZA.,TEIXEIRA de SOUZA SILVA Joao Victor,M,../../../en/results/athletics/athlete-profile-n1361175-teixeira-de-souza-silva-joao-victor.htm,Men's Shot Put - F37,Brazil,BRA,Athletics,ATH
Gold Medal,1,2021-08-27 00:00:00.0,SANTOS W,SANTOS Wallace,M,../../../en/results/athletics/athlete-profile-n1361192-santos-wallace.htm,Men's Shot Put - F55,Brazil,BRA,Athletics,ATH
Silver Medal,2,2021-08-27 00:00:00.0,RUZHDI R,RUZHDI Ruzhdi,M,../../../en/results/athletics/athlete-profile-n1725793-ruzhdi-ruzhdi.htm,Men's Shot Put - F55,Bulgaria,BUL,Athletics,ATH
Bronze Medal,3,2021-08-27 00:00:00.0,STOLTMAN L,STOLTMAN Lech,M,../../../en/results/athletics/athlete-profile-n1376978-stoltman-lech.htm,Men's Shot Put - F55,Poland,POL,Athletics,ATH
Gold Medal,1,2021-08-27 00:00:00.0,ZHOU X,ZHOU Xia,W,../../../en/results/athletics/athlete-profile-n1595278-zhou-xia.htm,Women's 100m - T35,People's Republic of China,CHN,Athletics,ATH
Silver Medal,2,2021-08-27 00:00:00.0,HOLT I,HOLT Isis,W,../../../en/results/athletics/athlete-profile-n1415975-holt-isis.htm,Women's 100m - T35,Australia,AUS,Athletics,ATH
Bronze Medal,3,2021-08-27 00:00:00.0,LYLE M,LYLE Maria,W,../../../en/results/athletics/athlete-profile-n1727788-lyle-maria.htm,Women's 100m - T35,Great Britain,GBR,Athletics,ATH
Gold Medal,1,2021-08-27 00:00:00.0,WEN X,WEN Xiaoyan,W,../../../en/results/athletics/athlete-profile-n1595273-wen-xiaoyan.htm,Women's 200m - T37,People's Republic of China,CHN,Athletics,ATH
Silver Medal,2,2021-08-27 00:00:00.0,JIANG F,JIANG Fenfen,W,../../../en/results/athletics/athlete-profile-n1595243-jiang-fenfen.htm,Women's 200m - T37,People's Republic of China,CHN,Athletics,ATH
Bronze Medal,3,2021-08-27 00:00:00.0,FRANCOIS-ELIE M,FRANCOIS-ELIE Mandy,W,../../../en/results/athletics/athlete-profile-n1358300-francois-elie-mandy.htm,Women's 200m - T37,France,FRA,Athletics,ATH
Gold Medal,1,2021-08-27 00:00:00.0,KOZAKOWSKA R,KOZAKOWSKA Roza,W,../../../en/results/athletics/athlete-profile-n1428726-kozakowska-roza.htm,Women's Club Throw - F32,Poland,POL,Athletics,ATH
Silver Medal,2,2021-08-27 00:00:00.0,MOSKALENKO A,MOSKALENKO Anastasiia,W,../../../en/results/athletics/athlete-profile-n1311595-moskalenko-anastasiia.htm,Women's Club Throw - F32,Ukraine,UKR,Athletics,ATH
Bronze Medal,3,2021-08-27 00:00:00.0,GASMI M,GASMI Mounia,W,../../../en/results/athletics/athlete-profile-n1362668-gasmi-mounia.htm,Women's Club Throw - F32,Algeria,ALG,Athletics,ATH
Gold Medal,1,2021-08-27 00:00:00.0,DONG F,DONG Feixia,W,../../../en/results/athletics/athlete-profile-n1596946-dong-feixia.htm,Women's Discus Throw - F55,People's Republic of China,CHN,Athletics,ATH
Silver Medal,2,2021-08-27 00:00:00.0,DADZITE D,DADZITE Diana,W,../../../en/results/athletics/athlete-profile-n1343877-dadzite-diana.htm,Women's Discus Throw - F55,Latvia,LAT,Athletics,ATH
Bronze Medal,3,2021-08-27 00:00:00.0,GUERRERO CAZARES R,GUERRERO CAZARES Rosa Maria,W,../../../en/results/athletics/athlete-profile-n1363531-guerrero-cazares-rosa-maria.htm,Women's Discus Throw - F55,Mexico,MEX,Athletics,ATH
Gold Medal,1,2021-08-27 00:00:00.0,COSTA de OLIVEIRA,COSTA de OLIVEIRA Silvania,W,../../../en/results/athletics/athlete-profile-n1402412-costa-de-oliveira-silvania.htm,Women's Long Jump - T11,Brazil,BRA,Athletics,ATH
Silver Medal,2,2021-08-27 00:00:00.0,MIRZAYOROVA A,MIRZAYOROVA Asila,W,../../../en/results/athletics/athlete-profile-n1727375-mirzayorova-asila.htm,Women's Long Jump - T11,Uzbekistan,UZB,Athletics,ATH
Bronze Medal,3,2021-08-27 00:00:00.0,PAVLENKO Y,PAVLENKO Yuliia,W,../../../en/results/athletics/athlete-profile-n1311635-pavlenko-yuliia.htm,Women's Long Jump - T11,Ukraine,UKR,Athletics,ATH
Gold Medal,1,2021-08-27 00:00:00.0,TLILI R,TLILI Raoua,W,../../../en/results/athletics/athlete-profile-n1362099-tlili-raoua.htm,Women's Shot Put - F41,Tunisia,TUN,Athletics,ATH
Silver Medal,2,2021-08-27 00:00:00.0,BUITRAGO ARIZA M,BUITRAGO ARIZA Mayerli,W,../../../en/results/athletics/athlete-profile-n1352721-buitrago-ariza-mayerli.htm,Women's Shot Put - F41,Colombia,COL,Athletics,ATH
Bronze Medal,3,2021-08-27 00:00:00.0,RUIZ DIAZ A,RUIZ DIAZ Antonella,W,../../../en/results/athletics/athlete-profile-n1649678-ruiz-diaz-antonella.htm,Women's Shot Put - F41,Argentina,ARG,Athletics,ATH
Gold Medal,1,2021-08-27 00:00:00.0,LI Z,LI Zhangyu,M,../../../en/results/cycling-track/athlete-profile-n1711564-li-zhangyu.htm,Men's C1-3 1000m Time Trial,People's Republic of China,CHN,Cycling Track,CTR
Silver Medal,2,2021-08-27 00:00:00.0,LEAUTE A,LEAUTE Alexandre,M,../../../en/results/cycling-track/athlete-profile-n1358082-leaute-alexandre.htm,Men's C1-3 1000m Time Trial,France,FRA,Cycling Track,CTR
