Athlete Name,First Game,Sport,Sport Event,Medal Won,Home Country,Host Country,Game Name,Game Season,Year
Maria Höfl-Riesch,Vancouver 2010,Alpine Skiing,alpine combined women,GOLD,Germany,Canada,Vancouver 2010,Winter,2010
Stephanie BECKERT,Vancouver 2010,Speed skating,5000m women,SILVER,Germany,Canada,Vancouver 2010,Winter,2010
Petter NORTHUG JR.,Vancouver 2010,Cross Country Skiing,50km men,GOLD,Norway,Canada,Vancouver 2010,Winter,2010
Nikita KRIUKOV,Vancouver 2010,Cross Country Skiing,Sprint 15km men,GOLD,Russian Federation,Canada,Vancouver 2010,Winter,2010
Yuna KIM,Vancouver 2010,Figure skating,Individual women,GOLD,Republic of Korea,Canada,Vancouver 2010,Winter,2010
Mao ASADA,Vancouver 2010,Figure skating,Individual women,SILVER,Japan,Canada,Vancouver 2010,Winter,2010
Marion KREINER,Vancouver 2010,Snowboard,Giant parallel slalom women,BRONZE,Austria,Canada,Vancouver 2010,Winter,2010
Ekaterina ILYUKHINA,Vancouver 2010,Snowboard,Giant parallel slalom women,SILVER,Russian Federation,Canada,Vancouver 2010,Winter,2010
Tony RAMOIN,Vancouver 2010,Snowboard,Snowboard Cross men,BRONZE,France,Canada,Vancouver 2010,Winter,2010
Andreas MATT,Vancouver 2010,Freestyle Skiing,Ski Cross men,SILVER,Austria,Canada,Vancouver 2010,Winter,2010
Marion JOSSERAND,Vancouver 2010,Freestyle Skiing,Ski Cross women,BRONZE,France,Canada,Vancouver 2010,Winter,2010
Audun GROENVOLD,Vancouver 2010,Freestyle Skiing,Ski Cross men,BRONZE,Norway,Canada,Vancouver 2010,Winter,2010
Bryon WILSON,Vancouver 2010,Freestyle Skiing,Moguls men,BRONZE,United States of America,Canada,Vancouver 2010,Winter,2010
Ashleigh MCIVOR,Vancouver 2010,Freestyle Skiing,Ski Cross women,GOLD,Canada,Canada,Vancouver 2010,Winter,2010
Jon MONTGOMERY,Vancouver 2010,Skeleton,Individual men,GOLD,Canada,Canada,Vancouver 2010,Winter,2010
Amy WILLIAMS,Vancouver 2010,Skeleton,Individual women,GOLD,Great Britain,Canada,Vancouver 2010,Winter,2010
Kerstin SZYMKOWIAK,Vancouver 2010,Skeleton,Individual women,SILVER,Germany,Canada,Vancouver 2010,Winter,2010
Katherine REUTTER,Vancouver 2010,Short Track Speed Skating,1000m women,SILVER,United States of America,Canada,Vancouver 2010,Winter,2010
Jung-Su LEE,Vancouver 2010,Short Track Speed Skating,1500m men,GOLD,Republic of Korea,Canada,Vancouver 2010,Winter,2010
Mike ROBERTSON,Vancouver 2010,Snowboard,Snowboard Cross men,SILVER,Canada,Canada,Vancouver 2010,Winter,2010
Scott LAGO,Vancouver 2010,Snowboard,Half-pipe men,BRONZE,United States of America,Canada,Vancouver 2010,Winter,2010
Magdalena NEUNER,Vancouver 2010,Biathlon,125km mass start women,GOLD,Germany,Canada,Vancouver 2010,Winter,2010
Simone HAUSWALD,Vancouver 2010,Biathlon,125km mass start women,BRONZE,Germany,Canada,Vancouver 2010,Winter,2010
Vincent JAY,Vancouver 2010,Biathlon,10km men,GOLD,France,Canada,Vancouver 2010,Winter,2010
Lindsey JACOBELLIS,Turin 2006,Snowboard,Snowboard Cross women,SILVER,United States of America,Italy,Turin 2006,Winter,2006
Shaun WHITE,Turin 2006,Snowboard,Half-pipe men,GOLD,United States of America,Italy,Turin 2006,Winter,2006
Ireen WÜST,Turin 2006,Speed skating,1500m women,BRONZE,Netherlands,Italy,Turin 2006,Winter,2006
Sven KRAMER,Turin 2006,Speed skating,5000m men,SILVER,Netherlands,Italy,Turin 2006,Winter,2006
Shani DAVIS,Turin 2006,Speed skating,1000m men,GOLD,United States of America,Italy,Turin 2006,Winter,2006
Ted LIGETY,Turin 2006,Alpine Skiing,alpine combined men,GOLD,United States of America,Italy,Turin 2006,Winter,2006
Tatjana HUEFNER,Turin 2006,Luge,Singles women,BRONZE,Germany,Italy,Turin 2006,Winter,2006
Justyna KOWALCZYK,Turin 2006,Cross Country Skiing,30km women,BRONZE,Poland,Italy,Turin 2006,Winter,2006
Magnus Hovdal MOAN,Turin 2006,Nordic Combined,Individual men,BRONZE,Norway,Italy,Turin 2006,Winter,2006
Nicole HOSP,Turin 2006,Alpine Skiing,slalom women,SILVER,Austria,Italy,Turin 2006,Winter,2006
Reinfried HERBST,Turin 2006,Alpine Skiing,slalom men,SILVER,Austria,Italy,Turin 2006,Winter,2006
Kang Seok LEE,Turin 2006,Speed skating,2x500m men,BRONZE,Republic of Korea,Italy,Turin 2006,Winter,2006
Chandra CRAWFORD,Turin 2006,Cross Country Skiing,sprint 15km women,GOLD,Canada,Italy,Turin 2006,Winter,2006
Thomas MORGENSTERN,Turin 2006,Ski Jumping,Large Hill Individual men,GOLD,Austria,Italy,Turin 2006,Winter,2006
Amelie KOBER,Turin 2006,Snowboard,Giant parallel slalom women,SILVER,Germany,Italy,Turin 2006,Winter,2006
Hannah TETER,Turin 2006,Snowboard,Half-pipe women,GOLD,United States of America,Italy,Turin 2006,Winter,2006
Dominique MALTAIS,Turin 2006,Snowboard,Snowboard Cross women,BRONZE,Canada,Italy,Turin 2006,Winter,2006
Paul-Henri DE LE RUE,Turin 2006,Snowboard,Snowboard Cross men,BRONZE,France,Italy,Turin 2006,Winter,2006
Mellisa HOLLINGSWORTH,Turin 2006,Skeleton,Individual women,BRONZE,Canada,Italy,Turin 2006,Winter,2006
Shelley RUDMAN,Turin 2006,Skeleton,Individual women,SILVER,Great Britain,Italy,Turin 2006,Winter,2006
Dale BEGG-SMITH,Turin 2006,Freestyle Skiing,Moguls men,GOLD,Australia,Italy,Turin 2006,Winter,2006
Hui REN,Turin 2006,Speed skating,2x500m women,BRONZE,People's Republic of China,Italy,Turin 2006,Winter,2006
Chad HEDRICK,Turin 2006,Speed skating,10000m men,SILVER,United States of America,Italy,Turin 2006,Winter,2006
Meng WANG,Turin 2006,Short Track Speed Skating,1000m women,SILVER,People's Republic of China,Italy,Turin 2006,Winter,2006
Ho-Suk LEE,Turin 2006,Short Track Speed Skating,1500m men,SILVER,Republic of Korea,Italy,Turin 2006,Winter,2006
Andreas KOFLER,Turin 2006,Ski Jumping,Large Hill Individual men,SILVER,Austria,Italy,Turin 2006,Winter,2006
Roddy DARRAGON,Turin 2006,Cross Country Skiing,Sprint 15km men,SILVER,France,Italy,Turin 2006,Winter,2006
Seth WESCOTT,Turin 2006,Snowboard,Snowboard Cross men,GOLD,United States of America,Italy,Turin 2006,Winter,2006
Gretchen BLEILER,Turin 2006,Snowboard,Half-pipe women,SILVER,United States of America,Italy,Turin 2006,Winter,2006
Alena SIDKO,Turin 2006,Cross Country Skiing,sprint 15km women,BRONZE,Russian Federation,Italy,Turin 2006,Winter,2006
Martina SCHILD,Turin 2006,Alpine Skiing,downhill women,SILVER,Switzerland,Italy,Turin 2006,Winter,2006
Toby DAWSON,Turin 2006,Freestyle Skiing,Moguls men,BRONZE,United States of America,Italy,Turin 2006,Winter,2006
Jeffrey BUTTLE,Turin 2006,Figure skating,Individual men,BRONZE,Canada,Italy,Turin 2006,Winter,2006
Sun-Yu JIN,Turin 2006,Short Track Speed Skating,1000m women,GOLD,Republic of Korea,Italy,Turin 2006,Winter,2006
Anouk LEBLANC-BOUCHER,Turin 2006,Short Track Speed Skating,500m women,BRONZE,Canada,Italy,Turin 2006,Winter,2006
Tanja FRIEDEN,Turin 2006,Snowboard,Snowboard Cross women,GOLD,Switzerland,Italy,Turin 2006,Winter,2006
Radoslav ZIDEK,Turin 2006,Snowboard,Snowboard Cross men,SILVER,Slovakia,Italy,Turin 2006,Winter,2006
Olena KOSTEVYCH,Athens 2004,Shooting,10m air pistol 40 shots women,GOLD,Ukraine,Greece,Athens 2004,Summer,2004
Jong Oh JIN,Athens 2004,Shooting,50m pistol 60 shots men,SILVER,Republic of Korea,Greece,Athens 2004,Summer,2004
Andrea CASSARA,Athens 2004,Fencing,foil individual men,BRONZE,Italy,Greece,Athens 2004,Summer,2004
Mariel ZAGUNIS,Athens 2004,Fencing,sabre individual women,GOLD,United States of America,Greece,Athens 2004,Summer,2004
Zhiyong SHI,Athens 2004,Weightlifting,62kg featherweight men,GOLD,People's Republic of China,Greece,Athens 2004,Summer,2004
Eliud KIPCHOGE,Athens 2004,Athletics,5000m men,BRONZE,Kenya,Greece,Athens 2004,Summer,2004
Allyson FELIX,Athens 2004,Athletics,200m women,SILVER,United States of America,Greece,Athens 2004,Summer,2004
Zheng WANG,Athens 2004,Shooting,double trap 150 targets men,BRONZE,People's Republic of China,Greece,Athens 2004,Summer,2004
Federica PELLEGRINI,Athens 2004,Swimming,200m freestyle women,SILVER,Italy,Greece,Athens 2004,Summer,2004
Laszlo CSEH,Athens 2004,Swimming,400m individual medley men,BRONZE,Hungary,Greece,Athens 2004,Summer,2004
Aldo MONTANO,Athens 2004,Fencing,sabre individual men,GOLD,Italy,Greece,Athens 2004,Summer,2004
Song Guk KIM,Athens 2004,Boxing,54-57kg featherweight men,SILVER,Democratic People's Republic of Korea,Greece,Athens 2004,Summer,2004
Qinan ZHU,Athens 2004,Shooting,10m air rifle 60 shots men,GOLD,People's Republic of China,Greece,Athens 2004,Summer,2004
Matthew EMMONS,Athens 2004,Shooting,50m rifle prone 60 shots men,GOLD,United States of America,Greece,Athens 2004,Summer,2004
Ning WEI,Athens 2004,Shooting,skeet 75 targets women,SILVER,People's Republic of China,Greece,Athens 2004,Summer,2004
Adam VELLA,Athens 2004,Shooting,trap 125 targets men,BRONZE,Australia,Greece,Athens 2004,Summer,2004
Anna MEARES,Athens 2004,Cycling Track,sprint women,BRONZE,Australia,Greece,Athens 2004,Summer,2004
Theo BOS,Athens 2004,Cycling Track,Sprint individual men,SILVER,Netherlands,Greece,Athens 2004,Summer,2004
Jaroslav BABA,Athens 2004,Athletics,high jump men,BRONZE,Czech Republic,Greece,Athens 2004,Summer,2004
Justin GATLIN,Athens 2004,Athletics,100m men,GOLD,United States of America,Greece,Athens 2004,Summer,2004
Tirunesh DIBABA,Athens 2004,Athletics,5000m women,BRONZE,Ethiopia,Greece,Athens 2004,Summer,2004
Brimin Kiprop KIPRUTO,Athens 2004,Athletics,3000m steeplechase men,SILVER,Kenya,Greece,Athens 2004,Summer,2004
Zersenay TADESSE,Athens 2004,Athletics,10000m men,BRONZE,Eritrea,Greece,Athens 2004,Summer,2004
Adam VAN KOEVERDEN,Athens 2004,Canoe Sprint,K1 1000m kayak single men,BRONZE,Canada,Greece,Athens 2004,Summer,2004
Julien ABSALON,Athens 2004,Cycling Mountain Bike,cross-country men,GOLD,France,Greece,Athens 2004,Summer,2004
Marco GALIAZZO,Athens 2004,Archery,Individual competition men,GOLD,Italy,Greece,Athens 2004,Summer,2004
Catalina PONOR,Athens 2004,Gymnastics Artistic,balance beam women,GOLD,Romania,Greece,Athens 2004,Summer,2004
Saori YOSHIDA,Athens 2004,Wrestling,"Lightweight, Freestyle (≤55 kilograms) Women",GOLD,Japan,Greece,Athens 2004,Summer,2004
Guzel MANYUROVA,Athens 2004,Wrestling,"Heavyweight, Freestyle (≤72 kilograms) Women",SILVER,Russian Federation,Greece,Athens 2004,Summer,2004
Kaori ICHO,Athens 2004,Wrestling,"Middleweight, Freestyle (≤63 kilograms) Women",GOLD,Japan,Greece,Athens 2004,Summer,2004
Jie LI,Athens 2004,Shooting,10m air rifle 60 shots men,SILVER,People's Republic of China,Greece,Athens 2004,Summer,2004
Ilias ILIADIS,Athens 2004,Judo,73  81kg halfmiddleweight men,GOLD,Greece,Greece,Athens 2004,Summer,2004
Ryan LOCHTE,Athens 2004,Swimming,200m individual medley men,SILVER,United States of America,Greece,Athens 2004,Summer,2004
Daniel GYURTA,Athens 2004,Swimming,200m breaststroke men,SILVER,Hungary,Greece,Athens 2004,Summer,2004
Xiang LIU,Athens 2004,Athletics,110m hurdles men,GOLD,People's Republic of China,Greece,Athens 2004,Summer,2004
Sven RIEDERER,Athens 2004,Triathlon,Individual men,BRONZE,Switzerland,Greece,Athens 2004,Summer,2004
Laure MANAUDOU,Athens 2004,Swimming,800m freestyle women,SILVER,France,Greece,Athens 2004,Summer,2004
Brendan HANSEN,Athens 2004,Swimming,100m breaststroke men,SILVER,United States of America,Greece,Athens 2004,Summer,2004
David DAVIES,Athens 2004,Swimming,1500m freestyle men,BRONZE,Great Britain,Greece,Athens 2004,Summer,2004
Minxia WU,Athens 2004,Diving,3m springboard women,SILVER,People's Republic of China,Greece,Athens 2004,Summer,2004
Kenenisa BEKELE,Athens 2004,Athletics,10000m men,GOLD,Ethiopia,Greece,Athens 2004,Summer,2004
Vera POSPISILOVA-CECHLOVA,Athens 2004,Athletics,discus throw women,BRONZE,Czech Republic,Greece,Athens 2004,Summer,2004
Andreas THORKILDSEN,Athens 2004,Athletics,javelin throw men,GOLD,Norway,Greece,Athens 2004,Summer,2004
Natalya ANTYUKH,Athens 2004,Athletics,400m women,BRONZE,Russian Federation,Greece,Athens 2004,Summer,2004
Ezekiel KEMBOI,Athens 2004,Athletics,3000m steeplechase men,GOLD,Kenya,Greece,Athens 2004,Summer,2004
Dmitriy KARPOV,Athens 2004,Athletics,decathlon men,BRONZE,Kazakhstan,Greece,Athens 2004,Summer,2004
Meseret DEFAR,Athens 2004,Athletics,5000m women,GOLD,Ethiopia,Greece,Athens 2004,Summer,2004
David CAL FIGUEROA,Athens 2004,Canoe Sprint,C-1 500m (canoe single) men,SILVER,Spain,Greece,Athens 2004,Summer,2004
Attila Sandor VAJDA,Athens 2004,Canoe Sprint,C-1 1000m (canoe single) men,BRONZE,Hungary,Greece,Athens 2004,Summer,2004
Ben FOUHY,Athens 2004,Canoe Sprint,K1 1000m kayak single men,SILVER,New Zealand,Greece,Athens 2004,Summer,2004
Lenka HYKOVA,Athens 2004,Shooting,25m pistol 3030 shots women,SILVER,Czech Republic,Greece,Athens 2004,Summer,2004
Suzanne BALOGH,Athens 2004,Shooting,trap 75 targets women,GOLD,Australia,Greece,Athens 2004,Summer,2004
Katerina EMMONS,Athens 2004,Shooting,10m air rifle 40 shots women,BRONZE,Czech Republic,Greece,Athens 2004,Summer,2004
Christian PLANER,Athens 2004,Shooting,50m rifle 3 positions 3x40 shots men,BRONZE,Austria,Greece,Athens 2004,Summer,2004
Karam GABER IBRAHIM,Athens 2004,Wrestling,"Heavyweight, Greco-Roman (≤96 kilograms) Men",GOLD,Egypt,Greece,Athens 2004,Summer,2004
Kyoko HAMAGUCHI,Athens 2004,Wrestling,"Heavyweight, Freestyle (≤72 kilograms) Women",BRONZE,Japan,Greece,Athens 2004,Summer,2004
Iryna SHTANHYEYEVA,Athens 2004,Wrestling,"Flyweight, Freestyle (≤48 kilograms) Women",GOLD,Ukraine,Greece,Athens 2004,Summer,2004
Tonya Lynn VERBEEK,Athens 2004,Wrestling,"Lightweight, Freestyle (≤55 kilograms) Women",SILVER,Canada,Greece,Athens 2004,Summer,2004
Khasan BAROEV,Athens 2004,Wrestling,"Super-Heavyweight, Greco-Roman (≤120 kilograms) Men",GOLD,Russian Federation,Greece,Athens 2004,Summer,2004
Bevan DOCHERTY,Athens 2004,Triathlon,Individual men,SILVER,New Zealand,Greece,Athens 2004,Summer,2004
Shanshan HUANG,Athens 2004,Trampoline,Individual women,BRONZE,People's Republic of China,Greece,Athens 2004,Summer,2004
Roberto CAMMARELLE,Athens 2004,Boxing,91kg super heavyweight men,BRONZE,Italy,Greece,Athens 2004,Summer,2004
Shiming ZOU,Athens 2004,Boxing,48kg light flywieght men,BRONZE,People's Republic of China,Greece,Athens 2004,Summer,2004
Hao WANG,Athens 2004,Table Tennis,Singles men,SILVER,People's Republic of China,Greece,Athens 2004,Summer,2004
Kyung Ah KIM,Athens 2004,Table Tennis,Singles women,BRONZE,Republic of Korea,Greece,Athens 2004,Summer,2004
Natalya ZABOLOTNAYA,Athens 2004,Weightlifting,75kg women,SILVER,Russian Federation,Greece,Athens 2004,Summer,2004
Mi-Ran JANG,Athens 2004,Weightlifting,+75kg women,SILVER,Republic of Korea,Greece,Athens 2004,Summer,2004
Roman GONTIUK,Athens 2004,Judo,73  81kg halfmiddleweight men,SILVER,Ukraine,Greece,Athens 2004,Summer,2004
Ilse HEYLEN,Athens 2004,Judo,48  52kg halflightweight women,BRONZE,Belgium,Greece,Athens 2004,Summer,2004
Leandro GUILHEIRO,Athens 2004,Judo,66  73kg lightweight men,BRONZE,Brazil,Greece,Athens 2004,Summer,2004
Urska ZOLNIR,Athens 2004,Judo,57  63kg halfmiddleweight women,BRONZE,Slovenia,Greece,Athens 2004,Summer,2004
Yurisleidy LUPETEY,Athens 2004,Judo,52  57kg lightweight women,BRONZE,Cuba,Greece,Athens 2004,Summer,2004
Armen NAZARYAN,Athens 2004,Wrestling,"Lightweight, Greco-Roman (≤60 kilograms) Men",BRONZE,Bulgaria,Greece,Athens 2004,Summer,2004
Tsagaanbaatar KHASHBAATAR,Athens 2004,Judo,Athens 2004 Judo - 60 kg men,BRONZE,Mongolia,Greece,Athens 2004,Summer,2004
Andrey MOISEEV,Athens 2004,Modern Pentathlon,Individual competition men,GOLD,Russian Federation,Greece,Athens 2004,Summer,2004
Sung Jin LEE,Athens 2004,Archery,individual FITA Olympic round  70m women,SILVER,Republic of Korea,Greece,Athens 2004,Summer,2004
Bahri TANRIKULU,Athens 2004,Taekwondo,68 - 80 kg men,SILVER,Turkey,Greece,Athens 2004,Summer,2004
Tamer BAYOUMI,Athens 2004,Taekwondo,Athens 2004 Taekwondo - 58 kg men,BRONZE,Egypt,Greece,Athens 2004,Summer,2004
Yousef KARAMI,Athens 2004,Taekwondo,68 - 80 kg men,BRONZE,Islamic Republic of Iran,Greece,Athens 2004,Summer,2004
Kyung Seon HWANG,Athens 2004,Taekwondo,57 - 67 kg women,BRONZE,Republic of Korea,Greece,Athens 2004,Summer,2004
Sada JACOBSON,Athens 2004,Fencing,sabre individual women,BRONZE,United States of America,Greece,Athens 2004,Summer,2004
Xue TAN,Athens 2004,Fencing,sabre individual women,SILVER,People's Republic of China,Greece,Athens 2004,Summer,2004
Lei WANG,Athens 2004,Fencing,épée individual men,SILVER,People's Republic of China,Greece,Athens 2004,Summer,2004
Kate ALLEN,Athens 2004,Triathlon,Individual women,GOLD,Austria,Greece,Athens 2004,Summer,2004
Sung-Hyun PARK,Athens 2004,Archery,individual FITA Olympic round  70m women,GOLD,Republic of Korea,Greece,Athens 2004,Summer,2004
Sara CARRIGAN,Athens 2004,Cycling Road,individual road race women,GOLD,Australia,Greece,Athens 2004,Summer,2004
Karin THURIG,Athens 2004,Cycling Road,individual time trial women,BRONZE,Switzerland,Greece,Athens 2004,Summer,2004
Mu-Yen CHU,Athens 2004,Taekwondo,Athens 2004 Taekwondo - 58 kg men,GOLD,Chinese Taipei,Greece,Athens 2004,Summer,2004
Elisavet MYSTAKIDOU,Athens 2004,Taekwondo,57 - 67 kg women,SILVER,Greece,Greece,Athens 2004,Summer,2004
Alexey TISHCHENKO,Athens 2004,Boxing,54-57kg featherweight men,GOLD,Russian Federation,Greece,Athens 2004,Summer,2004
Manus BOONJUMNONG,Athens 2004,Boxing,60 - 64 kg men,GOLD,Thailand,Greece,Athens 2004,Summer,2004
Ionut GHEORGHE,Athens 2004,Boxing,60 - 64 kg men,BRONZE,Romania,Greece,Athens 2004,Summer,2004
Boris GEORGIEV,Athens 2004,Boxing,60 - 64 kg men,BRONZE,Bulgaria,Greece,Athens 2004,Summer,2004
Viktar ZUYEV,Athens 2004,Boxing,81-91kg heavyweight men,SILVER,Belarus,Greece,Athens 2004,Summer,2004
Jungjoo KIM,Athens 2004,Boxing,64 - 69 kg men,BRONZE,Republic of Korea,Greece,Athens 2004,Summer,2004
Worapoj PETCHKOOM,Athens 2004,Boxing,51-54kg bantamweight men,SILVER,Thailand,Greece,Athens 2004,Summer,2004
Rustamhodza RAHIMOV,Athens 2004,Boxing,48-51kg flyweight men,BRONZE,Germany,Greece,Athens 2004,Summer,2004
Bakhtiyar ARTAYEV,Athens 2004,Boxing,64 - 69 kg men,GOLD,Kazakhstan,Greece,Athens 2004,Summer,2004
Lise LEGRAND,Athens 2004,Wrestling,"Middleweight, Freestyle (≤63 kilograms) Women",BRONZE,France,Greece,Athens 2004,Summer,2004
Mavlet BATIROV,Athens 2004,Wrestling,"Featherweight, Freestyle (≤55 kilograms) Men",GOLD,Russian Federation,Greece,Athens 2004,Summer,2004
Yandro Miguel QUINTANA,Athens 2004,Wrestling,"Lightweight, Freestyle (≤60 kilograms) Men",GOLD,Cuba,Greece,Athens 2004,Summer,2004
Mehmet OZAL,Athens 2004,Wrestling,"Heavyweight, Greco-Roman (≤96 kilograms) Men",BRONZE,Turkey,Greece,Athens 2004,Summer,2004
Ramaz NOZADZE,Athens 2004,Wrestling,"Heavyweight, Greco-Roman (≤96 kilograms) Men",SILVER,Georgia,Greece,Athens 2004,Summer,2004
Aleksei MISHIN,Athens 2004,Wrestling,"Light-Heavyweight, Greco-Roman (≤84 kilograms) Men",GOLD,Russian Federation,Greece,Athens 2004,Summer,2004
Roberto MONZON,Athens 2004,Wrestling,"Lightweight, Greco-Roman (≤60 kilograms) Men",SILVER,Cuba,Greece,Athens 2004,Summer,2004
Ivan FUNDORA,Athens 2004,Wrestling,"Middleweight, Freestyle (≤74 kilograms) Men",BRONZE,Cuba,Greece,Athens 2004,Summer,2004
Chiharu ICHO,Athens 2004,Wrestling,"Flyweight, Freestyle (≤48 kilograms) Women",SILVER,Japan,Greece,Athens 2004,Summer,2004
Athanasia TSOUMELEKA,Athens 2004,Athletics,20km race walk women,GOLD,Greece,Greece,Athens 2004,Summer,2004
Carolina KLUFT,Athens 2004,Athletics,heptathlon women,GOLD,Sweden,Greece,Athens 2004,Summer,2004
Hrysopiyi DEVETZI,Athens 2004,Athletics,triple jump women,SILVER,Greece,Greece,Athens 2004,Summer,2004
Kelly SOTHERTON,Athens 2004,Athletics,heptathlon women,BRONZE,Great Britain,Greece,Athens 2004,Summer,2004
Marian OPREA,Athens 2004,Athletics,triple jump men,SILVER,Romania,Greece,Athens 2004,Summer,2004
Bryan CLAY,Athens 2004,Athletics,decathlon men,SILVER,United States of America,Greece,Athens 2004,Summer,2004
Sileshi SIHINE,Athens 2004,Athletics,10000m men,SILVER,Ethiopia,Greece,Athens 2004,Summer,2004
Anna ROGOWSKA,Athens 2004,Athletics,pole vault women,BRONZE,Poland,Greece,Athens 2004,Summer,2004
Shawn CRAWFORD,Athens 2004,Athletics,200m men,GOLD,United States of America,Greece,Athens 2004,Summer,2004
Denis NIZHEGORODOV,Athens 2004,Athletics,50km walk men,SILVER,Russian Federation,Greece,Athens 2004,Summer,2004
Ejegayehu DIBABA,Athens 2004,Athletics,10000m women,SILVER,Ethiopia,Greece,Athens 2004,Summer,2004
Vadims VASILEVSKIS,Athens 2004,Athletics,javelin throw men,SILVER,Latvia,Greece,Athens 2004,Summer,2004
Jeremy WARINER,Athens 2004,Athletics,400m men,GOLD,United States of America,Greece,Athens 2004,Summer,2004
Elena SLESARENKO,Athens 2004,Athletics,high jump women,GOLD,Russian Federation,Greece,Athens 2004,Summer,2004
Catherine NDEREBA,Athens 2004,Athletics,marathon women,SILVER,Kenya,Greece,Athens 2004,Summer,2004
Lauryn WILLIAMS,Athens 2004,Athletics,100m women,SILVER,United States of America,Greece,Athens 2004,Summer,2004
Min Ho CHOI,Athens 2004,Judo,Athens 2004 Judo - 60 kg men,BRONZE,Republic of Korea,Greece,Athens 2004,Summer,2004
Masato UCHISHIBA,Athens 2004,Judo,60  66kg halflightweight men,GOLD,Japan,Greece,Athens 2004,Summer,2004
