name,gender,country,athlete_index,athletes_sent,athletes_total,athlete_%
DETRAZ Romain,Male,Switzerland,1,95,169,56.213017751479285
DEYANOV Simeon,Male,Bulgaria,1,10,16,62.5
Di GREGORIO Zachary,Male,United States of America,1,116,225,51.55555555555556
DIAZ Adrian,Male,Spain,1,10,14,71.42857142857143
DIAZ Raphael,Male,Switzerland,1,95,169,56.213017751479285
DICHOW Frederik,Male,Denmark,1,34,63,53.96825396825397
DICKSON Adam,Male,Australia,1,21,44,47.72727272727273
DICKSON SOMMERS Rodolfo Roberto,Male,Mexico,1,3,4,75.0
DIECK Tim,Male,Germany,1,96,148,64.86486486486487
DIERDORFF Mick,Male,United States of America,1,116,225,51.55555555555556
DING Song,Male,People's Republic of China,1,95,182,52.197802197802204
DION Pascal,Male,Canada,1,109,215,50.697674418604656
DJUSE Emil,Male,Sweden,1,64,118,54.23728813559322
DOBLER Jonas,Male,Germany,1,96,148,64.86486486486487
DOBRE Raul Constantin,Male,Romania,1,13,21,61.904761904761905
DOHERTY Sean,Male,United States of America,1,116,225,51.55555555555556
DOLL Benedikt,Male,Germany,1,96,148,64.86486486486487
DOMBROVSKI Karol,Male,Lithuania,1,8,13,61.53846153846154
DONAGGIO Leonardo,Male,Italy,1,72,119,60.50420168067227
DONOHUE Zachary,Male,United States of America,1,116,225,51.55555555555556
DONSKIKH Daniil,Male,ROC,1,108,217,49.76958525345622
DOTTI Tommaso,Male,Italy,1,72,119,60.50420168067227
DOVZAN Miha,Male,Slovenia,1,23,44,52.27272727272727
DROLET Remi,Male,Canada,1,109,215,50.697674418604656
DRUKAROV Andrej,Male,Lithuania,1,8,13,61.53846153846154
DRURY Kevin,Male,Canada,1,109,215,50.697674418604656
DUBOIS Steven,Male,Canada,1,109,215,50.697674418604656
DUBREUIL Laurent,Male,Canada,1,109,215,50.697674418604656
DUDCHENKO Anton,Male,Ukraine,1,24,46,52.17391304347826
DUFTER Joel,Male,Germany,1,96,148,64.86486486486487
DUKACH Anton,Male,Ukraine,1,24,46,52.17391304347826
DUKURS Martins,Male,Latvia,1,50,61,81.9672131147541
DUKURS Tomass,Male,Latvia,1,50,61,81.9672131147541
DUMAIS Laurent,Male,Canada,1,109,215,50.697674418604656
DUSEK Jakob,Male,Austria,1,64,105,60.952380952380956
DVORAK Dominik,Male,Czech Republic,1,59,115,51.30434782608696
DYRBYE Casper,Male,Denmark,1,34,63,53.96825396825397
DZERINS Andris,Male,Latvia,1,50,61,81.9672131147541
DZIERKALS Martins,Male,Latvia,1,50,61,81.9672131147541
DZIK Pavel,Male,Belarus,1,11,28,39.285714285714285
ECKSCHLAGER Robert,Male,Austria,1,64,105,60.952380952380956
EDER Simon,Male,Austria,1,64,105,60.952380952380956
EDIN Niklas,Male,Sweden,1,64,118,54.23728813559322
EGGERT Toni,Male,Germany,1,96,148,64.86486486486487
EGUIBAR Lucas,Male,Spain,1,10,14,71.42857142857143
EHLIZ Yasin,Male,Germany,1,96,148,64.86486486486487
EIBOG Daniil,Male,ROC,1,108,217,49.76958525345622
EINARSSON Snorri Eythor,Male,Iceland,1,3,5,60.0
EISENBICHLER Markus,Male,Germany,1,96,148,64.86486486486487
ELISTRATOV Semen,Male,ROC,1,108,217,49.76958525345622
ELLIS Morgan,Male,Canada,1,109,215,50.697674418604656
ELOFSSON Felix,Male,Sweden,1,64,118,54.23728813559322
ELOFSSON Oskar,Male,Sweden,1,64,118,54.23728813559322
ENGEBRAATEN Hallgeir,Male,Norway,1,54,84,64.28571428571429
ENZIE Blake,Male,Canada,1,109,215,50.697674418604656
ERIC Strahinja,Male,Bosnia and Herzegovina,1,3,6,50.0
ERIKSSON Oskar,Male,Sweden,1,64,118,54.23728813559322
ERMITS Kalev,Male,Estonia,1,14,26,53.84615384615385
ESTEVE ALTIMIRAS Ireneu,Male,Andorra,1,2,5,40.0
ETXEZARRETA Adur,Male,Spain,1,10,14,71.42857142857143
EVELYN Mike,Male,Canada,1,109,215,50.697674418604656
EVERBERG Dennis,Male,Sweden,1,64,118,54.23728813559322
FABBRI Marco,Male,Italy,1,72,119,60.50420168067227
FABER Brock,Male,United States of America,1,116,225,51.55555555555556
FAISST Manuel,Male,Germany,1,96,148,64.86486486486487
FAIVRE Mathieu,Male,France,1,50,86,58.139534883720934
FAK Jakov,Male,Slovenia,1,23,44,52.27272727272727
FAN Duoyao,Male,People's Republic of China,1,95,182,52.197802197802204
FAN Haibin,Male,People's Republic of China,1,95,182,52.197802197802204
FAN Xiaobing,Male,People's Republic of China,1,95,182,52.197802197802204
FANTAZZINI Eric,Male,Italy,1,72,119,60.50420168067227
FANTENBERG Oscar,Male,Sweden,1,64,118,54.23728813559322
FARRELL Sean,Male,United States of America,1,116,225,51.55555555555556
FASSLER Adrian,Male,Switzerland,1,95,169,56.213017751479285
FAVROT Thibaut,Male,France,1,50,86,58.139534883720934
FEDOTOV Ivan,Male,ROC,1,108,217,49.76958525345622
FELDERER Leon,Male,Italy,1,72,119,60.50420168067227
FELDOREAN Andrei,Male,Romania,1,13,21,61.904761904761905
FELICETTI Mirko,Male,Italy,1,72,119,60.50420168067227
FELLER Manuel,Male,Austria,1,64,105,60.952380952380956
FELLNER Adam,Male,Czech Republic,1,59,115,51.30434782608696
FEMLING Peppe,Male,Sweden,1,64,118,54.23728813559322
FENELEY William,Male,Great Britain,1,27,49,55.10204081632652
FENTZ Paul,Male,Germany,1,96,148,64.86486486486487
FERCOQ Quentin,Male,France,1,50,86,58.139534883720934
FERLAZZO Alexander,Male,Australia,1,21,44,47.72727272727273
FERNANDEZ Yonathan Jesus,Male,Chile,1,2,4,50.0
FERRARI Filippo,Male,Italy,1,72,119,60.50420168067227
FERRARO Landon,Male,Canada,1,109,215,50.697674418604656
FERREIRA Alex,Male,United States of America,1,116,225,51.55555555555556
FERSTL Josef,Male,Germany,1,96,148,64.86486486486487
FETTNER Manuel,Male,Austria,1,64,105,60.952380952380956
FEUZ Beat,Male,Switzerland,1,95,169,56.213017751479285
FILLON MAILLET Quentin,Male,France,1,50,86,58.139534883720934
FILPPULA Valtteri,Male,Finland,1,51,96,53.125
FIRAT Yusuf Emre,Male,Turkey,1,4,7,57.14285714285714
FISCHNALLER Dominik,Male,Italy,1,72,119,60.50420168067227
FISCHNALLER Kevin,Male,Italy,1,72,119,60.50420168067227
FISCHNALLER Roland,Male,Italy,1,72,119,60.50420168067227
FISH Graeme,Male,Canada,1,109,215,50.697674418604656
FITZSIMONS Sean,Male,United States of America,1,116,225,51.55555555555556
FIVA Alex,Male,Switzerland,1,95,169,56.213017751479285
FJALLSTROM Ludvig,Male,Sweden,1,64,118,54.23728813559322
FLAHERTY William C.,Male,Puerto Rico,1,1,2,50.0
FLETCHER Taylor,Male,United States of America,1,116,225,51.55555555555556
FOETTINGER Michael,Male,Austria,1,64,105,60.952380952380956
FOLIN Christian,Male,Sweden,1,64,118,54.23728813559322
FONTAINE Miha,Male,Canada,1,109,215,50.697674418604656
FORA Michael,Male,Switzerland,1,95,169,56.213017751479285
FORD Tommy,Male,United States of America,1,116,225,51.55555555555556
FOREHAND Mac,Male,United States of America,1,116,225,51.55555555555556
FORFANG Johann Andre,Male,Norway,1,54,84,64.28571428571429
FOSS-SOLEVAAG Sebastian,Male,Norway,1,54,84,64.28571428571429
FOSTER Lucas,Male,United States of America,1,116,225,51.55555555555556
FRANJIC Janko,Male,Netherlands,1,21,41,51.21951219512195
FRANJIC Jelen,Male,Netherlands,1,21,41,51.21951219512195
FRANZ Max,Male,Austria,1,64,105,60.952380952380956
FRAUSCHER Armin,Male,Austria,1,64,105,60.952380952380956
FRAZIER Brandon,Male,United States of America,1,116,225,51.55555555555556
FREIBERGS Ralfs,Male,Latvia,1,50,61,81.9672131147541
FRENZEL Eric,Male,Germany,1,96,148,64.86486486486487
FRIBERG Max,Male,Sweden,1,64,118,54.23728813559322
FRICK Lukas,Male,Switzerland,1,95,169,56.213017751479285
FRIEDLI Simon,Male,Switzerland,1,95,169,56.213017751479285
